Year,Predicted CO2 Emission (Billion tonnes),Lower Range,Upper Range
2025-01-01,2.9,2.8,3.0
2026-01-01,2.98,2.88,3.07
2027-01-01,3.05,2.95,3.15
2028-01-01,3.12,3.02,3.22
2029-01-01,3.19,3.09,3.29
2030-01-01,3.27,3.17,3.37
2031-01-01,3.34,3.24,3.44
2032-01-01,3.41,3.32,3.53
2033-01-01,3.48,3.38,3.59
2034-01-01,3.56,3.45,3.66
2035-01-01,3.63,3.53,3.74
2036-01-01,3.7,3.6,3.82
2037-01-01,3.77,3.66,3.88
2038-01-01,3.85,3.73,3.96
2039-01-01,3.92,3.8,4.03
2040-01-01,3.99,3.88,4.11
2041-01-01,4.06,3.93,4.19
2042-01-01,4.14,4.01,4.26
2043-01-01,4.21,4.08,4.35
2044-01-01,4.28,4.15,4.42
