Year,CO2 Emission
1858-01-01,394481
1859-01-01,636474
1860-01-01,643104
1861-01-01,497245
1862-01-01,550285
1863-01-01,609954
1864-01-01,576805
1865-01-01,566860
1866-01-01,639789
1878-01-01,1766878
1879-01-01,1684355
1880-01-01,1886743
1881-01-01,1839304
1882-01-01,2196259
1883-01-01,2440867
1884-01-01,2729971
1885-01-01,2459363
1886-01-01,2772020
1887-01-01,3065970
1888-01-01,3409502
1889-01-01,4021770
1890-01-01,4431605
1891-01-01,4772351
1892-01-01,5247216
1893-01-01,5543114
1894-01-01,5616621
1895-01-01,7034599
1896-01-01,7607913
1897-01-01,8253253
1898-01-01,9125050
1899-01-01,10054329
1900-01-01,11929382
1901-01-01,13179482
1902-01-01,14515204
1903-01-01,14801903
1904-01-01,16560764
1905-01-01,16930472
1906-01-01,19549130
1907-01-01,21772074
1908-01-01,24907868
1909-01-01,24142304
1910-01-01,23486964
1911-01-01,24782072
1912-01-01,28521014
1913-01-01,31466286
1914-01-01,31697660
1915-01-01,33141220
1916-01-01,33517002
1917-01-01,35019230
1918-01-01,39358704
1919-01-01,42974096
1920-01-01,34867452
1921-01-01,37504950
1922-01-01,36902812
1923-01-01,37971310
1924-01-01,40627332
1925-01-01,40084310
1926-01-01,39941964
1927-01-01,41883140
1928-01-01,40072296
1929-01-01,41707188
1930-01-01,42398796
1931-01-01,38850388
1932-01-01,36128884
1933-01-01,35466760
1934-01-01,39610384
1935-01-01,41392524
1936-01-01,40683816
1937-01-01,45066548
1938-01-01,50378828
1939-01-01,49311412
1940-01-01,52308668
1941-01-01,53580236
1942-01-01,53528676
1943-01-01,46643676
1944-01-01,47695224
1945-01-01,52873180
1946-01-01,52224150
1947-01-01,53179404
1948-01-01,53203210
1949-01-01,56186924
1950-01-01,60942560
1951-01-01,63805724
1952-01-01,67249430
1953-01-01,68607650
1954-01-01,72306530
1955-01-01,78693850
1956-01-01,81618800
1957-01-01,91617590
1958-01-01,95801250
1959-01-01,101436020
1960-01-01,111320210
1961-01-01,120399360
1962-01-01,132579760
1963-01-01,142438960
1964-01-01,139483200
1965-01-01,153696700
1966-01-01,159371420
1967-01-01,159557100
1968-01-01,174070540
1969-01-01,177411300
1970-01-01,181723860
1971-01-01,191964860
1972-01-01,203037040
1973-01-01,209096030
1974-01-01,215854050
1975-01-01,234209710
1976-01-01,244749840
1977-01-01,258962060
1978-01-01,263149940
1979-01-01,276285000
1980-01-01,291714430
1981-01-01,314969280
1982-01-01,325383070
1983-01-01,352204860
1984-01-01,361568800
1985-01-01,397601120
1986-01-01,426318050
1987-01-01,455354720
1988-01-01,491700100
1989-01-01,540661900
1990-01-01,577986560
1991-01-01,615388160
1992-01-01,655423550
1993-01-01,677262100
1994-01-01,714042800
1995-01-01,760480200
1996-01-01,823602200
1997-01-01,857975740
1998-01-01,875783360
1999-01-01,961193860
2000-01-01,987065100
2001-01-01,1001198400
2002-01-01,1032750340
2003-01-01,1068397950
2004-01-01,1134611000
2005-01-01,1195393300
2006-01-01,1293321500
2007-01-01,1393485200
2008-01-01,1490366500
2009-01-01,1613327600
2010-01-01,1678529500
2011-01-01,1765694800
2012-01-01,1926986400
2013-01-01,1995337200
2014-01-01,2148052000
2015-01-01,2231817500
2016-01-01,2352540200
2017-01-01,2425721900
2018-01-01,2595227100
2019-01-01,2611174700
2020-01-01,2422732000
2021-01-01,2675778000
2022-01-01,2831131600
2023-01-01,3062756400
2024-01-01,3193478100
